Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,724,1,300,H2,701,8,351975,351975,202597,0
2010,724,1,276,H2,701,8,2900925,2900925,1884168,0
2010,724,1,251,H2,701,8,559747220,559747220,131699825,0
2010,724,1,208,H2,701,8,2326880,2326880,1312695,0
2010,724,1,196,H2,701,8,799950,799950,711171,0
2010,724,1,188,H2,701,8,252,252,534,0
2010,724,1,76,H2,701,8,25800,25800,6723,0
2010,724,1,56,H2,701,8,16417566,16417566,4249922,0
2010,724,1,0,H2,701,8,778529605,778529605,247907323,0
2010,724,1,842,H2,407,8,9325,9325,212576,0
2010,724,1,826,H2,407,8,2361555,2361555,11443656,0
2010,724,1,620,H2,407,8,3593854,3593854,8261513,0
2010,724,1,528,H2,407,8,45366,45366,347290,0
2010,724,1,381,H2,407,8,13824,13824,16331,0
2010,724,1,348,H2,407,8,4709,4709,93607,0
2010,724,1,276,H2,407,8,152244,152244,1784689,0
2010,724,1,251,H2,407,8,745675,745675,8454637,0
2010,724,1,208,H2,407,8,4275,4275,24477,0
2010,724,1,56,H2,407,8,335,335,3908,0
2010,724,1,36,H2,407,8,310,310,11884,0
2010,724,1,0,H2,407,8,6931471,6931471,30654568,0
2010,724,1,826,H2,408,8,10315,10315,65717,0
2010,724,1,620,H2,408,8,7587163,7587163,12170608,0
2010,724,1,616,H2,408,8,71000,71000,426546,0
2010,724,1,528,H2,408,8,3091397,3091397,8817597,0
2010,724,1,381,H2,408,8,1185951,1185951,2950677,0
2010,724,1,376,H2,408,8,107000,107000,401163,0
2010,724,1,372,H2,408,8,22020,22020,44998,0
2010,724,1,276,H2,408,8,98972,98972,421925,0
2010,724,1,251,H2,408,8,3557561,3557561,11079611,0
2010,724,1,208,H2,408,8,249417,249417,1339124,0
2010,724,1,100,H2,408,8,122057,122057,98245,0
2010,724,1,56,H2,408,8,469235,469235,754162,0
2010,724,1,40,H2,408,8,36550,36550,243201,0
2010,724,1,0,H2,408,8,16608638,16608638,38813572,0
