Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
UVA,Producción,"6.473,8","5.197,0","5.757,2","4.567,6","3.254,4","3.350,0","4.973,5","5.523,4","5.146,8","5.607,7","6.539,8","5.271,7","5.934,1","7.240,5","7.064,2","6.062,5","6.595,1","5.962,6","5.951,6","5.535,3","5.867,0"
LIMONERO,Valor,"87.272,0","98.873,0","127.576,0","95.623,0","203.660,0","220.022,0","282.089,0","246.094,0","191.023,0","254.565,0","211.942,0","242.406,0","232.434,0","285.110,0","172.505,0","244.618,0","121.132,0","140.204,0","330.828,4","110.910,0","214.654,0"
Uva para mosto,Producción,"6.050,8","4.771,1","5.368,1","4.208,0","2.962,6","2.979,3","4.639,8","5.247,8","4.843,2","5.268,1","6.219,7","4.952,5","5.617,3","7.770,4","6.772,5","5.748,9","6.259,1","5.694,6","5.679,9","5.290,6","5.242,1"
POMELO,Valor,"2.819,0","3.372,0","4.195,0","3.396,0","4.123,0","7.206,0","3.955,0","5.376,0","5.025,0","4.632,0","4.889,0","5.273,0","6.594,0","4.438,0","6.758,0","6.473,0","7.602,0","8.800,0","6.934,0","7.196,0","7.431,0"
TOMATE,Producción,"3.170,3","2.665,3","2.647,7","2.805,8","3.108,8","2.841,2","3.326,4","3.360,2","3.599,9","3.874,7","3.766,3","3.971,7","3.979,7","3.947,3","4.383,2","4.810,3","3.800,6","4.081,5","4.049,8","4.798,1","4.312,7"
OTROS CÍTRICOS,Valor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
REMOLACHA AZUCARERA,Producción,"7.361,0","6.679,0","7.234,0","9.231,0","8.360,0","7.438,0","8.236,0","8.530,0","8.866,0","8.248,0","7.930,0","6.755,0","8.197,0","6.484,0","7.175,0","7.291,0","5.827,0","4.910,0","4.170,0","4.225,4","3.535,0"
CAÑA DE AZÚCAR,Valor,"5.930,0","5.295,0","5.621,0","4.697,0","4.578,0","3.577,0","1.847,0","2.750,0","4.069,0","4.658,0","4.335,0","3.125,0","3.121,0","3.034,0","2.425,0","1.761,0","598,0","19,0","6,0",..,..
MAÍZ,Producción,"3.046,8","3.233,3","2.757,5","1.632,9","2.343,6","2.590,4","3.751,1","4.453,7","4.349,1","3.731,0","3.991,8","4.981,9","4.425,4","4.355,0","4.831,1","3.981,4","3.355,7","3.610,9","3.717,7","3.515,6","3.324,8"
REMOLACHA AZUCARERA,Valor,"330.477,0","289.820,0","320.862,0","446.609,0","411.986,0","388.919,0","405.895,0","420.384,0","444.936,0","420.366,0","400.346,0","345.861,0","422.160,0","381.253,0","436.236,0","401.010,0","254.641,0","172.340,0","154.723,4","156.763,6","126.536,0"
NARANJO, Producción,"2.590,0","2.651,4","2.926,2","2.509,5","2.697,5","2.572,9","2.200,8","2.845,0","2.443,0","2.691,0","2.616,2","2.898,4","2.963,1","3.052,2","2.767,1","2.376,2","3.397,0","2.740,3","3.410,3","2.669,4","3.114,8"
AZÚCAR,Valor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AZAFRÁN,Producción (kilogramos),"21.789,0","23.654,0","13.500,0","14.642,0","9.431,0","6.365,0","5.541,0","6.961,0","7.053,0","5.681,0","2.822,0","2.818,0","2.818,0","3.420,0","1.051,0","820,0","1.330,0","1.345,0","1.843,0","1.829,0","2.332,0"
ALGODÓN BRUTO,Valor,"176.903,0","217.386,0","176.113,0","87.441,0","133.731,0","113.159,0","313.991,0","250.521,0","281.966,0","276.502,0","154.842,0","57.288,0","68.879,0","97.250,0","80.549,0","24.308,0","31.801,0","41.621,0","14.896,9","17.428,4","53.297,0"
PATATAS,Producción,"5.330,7","5.182,2","5.180,5","3.821,4","3.859,7","3.913,8","3.855,7","3.253,9","3.128,8","3.368,8","3.078,1","2.992,4","3.078,1","2.665,0","2.773,6","2.563,5","2.515,0","2.479,6","2.145,2","2.719,3","2.297,6"
