Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
PIMIENTO,Valor,"431.129,0","321.421,0","297.107,0","286.003,0","433.232,0","404.102,0","451.670,0","618.974,0","540.124,0","498.315,0","724.366,0","633.511,0","638.180,0","826.251,0","928.810,0","719.562,0","793.227,0","901.441,0","778.215,5","650.429,0","731.583,0"
GUISANTES VERDES,Producción,"67,4","67,2","64,2","57,6","60,8","57,6","66,6","61,3","59,4","53,1","51,5","47,9","74,9","55,2","69,4","54,8","77,8","73,9","75,4","91,8","83,5"
FRESA Y FRESÓN,Valor,"193.631,0","168.865,0","193.671,0","223.434,0","253.206,0","237.383,0","240.682,0","262.401,0","373.100,0","307.822,0","223.890,0","261.831,0","280.034,0","230.230,0","320.257,0","371.837,0","313.300,0","294.465,0","439.353,1","337.387,0","368.287,0"
HABAS VERDES,Producción,"124,9","128,6","64,2","89,0","82,3","72,6","65,2","69,7","72,9","73,5","78,0","65,5","66,2","65,0","63,4","53,6","69,4","67,9","66,0","69,9","80,2"
ALCACHOFA,Valor,"127.918,0","129.213,0","119.305,0","141.683,0","121.249,0","109.860,0","92.981,0","95.141,0","157.438,0","175.384,0","142.252,0","94.169,0","158.166,0","176.167,0","169.412,0","125.044,0","131.796,0","133.506,0","95.815,8","99.068,0","142.879,0"
ALBARICOQUERO,Producción,"119,6","210,9","198,7","210,0","200,2","138,7","197,9","141,9","163,8","148,8","142,5","134,8","127,5","143,8","121,5","137,2","156,9","89,0","109,1","95,2","79,1"
COLIFLOR,Valor,"75.953,0","76.282,0","64.900,0","69.886,0","63.684,0","79.552,0","95.079,0","113.887,0","131.419,0","161.010,0","154.866,0","165.461,0","184.311,0","199.563,0","161.766,0","196.866,0","214.820,0","193.668,0","161.966,6","63.214,0","82.926,0"
ESCAROLA,Producción,"68,8","76,7","55,3","53,5","54,6","51,6","50,2","49,3","50,8","52,1","61,3","69,1","71,1","72,2","77,1","80,1","72,2","63,7","61,9","62,3","59,8"
AJO,Valor,"231.567,0","250.608,0","237.306,0","215.009,0","212.379,0","172.609,0","209.361,0","184.123,0","187.677,0","162.423,0","138.196,0","178.276,0","236.461,0","134.938,0","142.034,0","140.137,0","203.361,0","200.088,0","168.388,7","186.355,0","231.334,0"
ESPINACAS,Producción,"54,9","51,1","49,8","49,5","50,0","42,3","46,5","45,4","52,6","54,8","61,6","48,0","55,9","55,0","53,7","62,3","65,0","67,2","59,5","48,0","59,4"
CEBOLLA,Valor,"152.762,0","119.275,0","104.410,0","147.411,0","153.781,0","114.875,0","102.763,0","149.342,0","126.708,0","102.159,0","123.491,0","151.802,0","152.028,0","155.420,0","166.727,0","159.459,0","206.166,0","290.141,0","173.831,1","175.001,0","273.851,0"
ACELGA,Producción,"89,9","95,2","89,4","70,2","60,3","54,3","56,8","57,6","59,9","56,6","72,1","75,5","76,0","91,0","75,3","60,8","63,9","67,2","64,7","66,5","59,4"
ZANAHORIA,Valor,"36.003,0","37.221,0","33.971,0","36.473,0","41.708,0","40.549,0","47.428,0","56.531,0","62.509,0","71.501,0","73.587,0","85.938,0","89.496,0","135.581,0","101.161,0","95.064,0","136.582,0","114.230,0","120.953,1","131.354,0","146.812,0"
ESPÁRRAGOS,Producción,"104,5","102,3","96,6","101,1","86,4","73,5","74,1","66,1","54,0","60,3","61,1","65,3","65,0","60,2","54,6","48,0","56,2","35,4","44,2","46,3","50,4"
CHAMPIÑÓN,Valor,"53.984,0","20.817,0","49.812,0","48.889,0","54.056,0","62.515,0","56.170,0","65.773,0","53.448,0","57.287,0","59.979,0","107.807,0","111.293,0","107.716,0","135.601,0","149.501,0","143.536,0","141.006,0","137.424,6","114.028,0","117.999,0"
YEROS,Producción,"15,9","16,2","8,3","8,1","6,7","4,9","26,8","42,0","60,4","40,7","92,0","49,6","92,1","77,9","88,0","19,2","13,6","11,8","11,1","17,3","49,9"
JUDÍAS VERDES,Valor,"231.156,0","282.187,0","270.179,0","247.856,0","275.185,0","253.095,0","278.347,0","279.714,0","362.104,0","376.931,0","360.550,0","380.078,0","344.740,0","344.834,0","298.249,0","346.622,0","346.955,0","323.171,0","286.762,8","262.825,0","205.008,0"
POMELO, Producción,"21,3","22,8","32,4","25,1","27,5","29,4","20,3","25,3","26,0","22,6","22,9","26,5","30,8","24,7","29,8","32,7","42,5","41,1","43,6","40,0","47,0"
GUISANTES VERDES,Valor,"37.085,0","38.918,0","37.373,0","35.061,0","29.201,0","31.873,0","43.182,0","39.587,0","37.953,0","36.864,0","31.726,0","46.245,0","50.305,0","39.155,0","40.945,0","32.812,0","51.040,0","53.737,0","55.115,0","56.100,0","56.809,0"
SORGO,Producción,"88,9","104,0","48,9","22,3","77,8","27,5","43,9","48,6","57,2","35,2","41,8","33,1","28,8","21,3","24,6","22,1","20,5","26,2","22,4","32,8","36,6"
HABAS VERDES,Valor,"51.496,0","55.378,0","25.208,0","38.427,0","31.765,0","33.308,0","33.802,0","34.920,0","47.424,0","47.408,0","45.116,0","39.744,0","38.752,0","63.775,0","49.917,0","55.120,0","53.634,0","69.731,0","62.129,5","43.829,0","67.988,0"
HABAS SECAS,Producción,"39,2","35,7","32,8","17,2","16,9","10,2","11,2","13,6","10,1","11,7","13,3","17,7","45,7","57,0","64,4","40,6","47,9","38,2","27,5","27,9","36,3"
PATATAS,Valor,"752.897,0","857.751,0","478.240,0","475.648,0","835.557,0","826.342,0","481.540,0","447.644,0","560.552,0","500.098,0","512.436,0","618.234,0","502.352,0","566.313,0","615.455,0","440.403,0","673.769,0","606.506,0","484.594,1","407.894,0","595.780,0"
COLZA,Producción,"29,7","17,1","12,8","16,8","55,7","51,1","107,9","98,6","71,9","57,2","44,1","24,5","10,8","5,7","8,8","4,1","7,9","34,7","20,8","34,7","36,0"
JUDÍAS SECAS,Valor,"51.342,0","65.240,0","43.512,0","34.243,0","40.121,0","46.176,0","41.980,0","30.724,0","28.515,0","37.612,0","26.674,0","19.930,0","19.154,0","20.755,0","19.525,0","21.658,0","23.037,0","22.697,0","21.912,6","27.516,0","21.751,0"
TABACO,Producción,"43,2","49,1","45,1","44,8","44,0","42,9","44,4","46,1","43,7","40,4","42,9","40,7","41,5","40,2","40,6","40,3","32,6","29,2","31,1","34,8","33,4"
HABAS SECAS,Valor,"8.684,1","7.567,6","6.359,5","3.473,4","3.371,1","2.142,5","2.523,6","3.815,5","2.576,8","2.792,3","3.088,7","4.238,3","9.763,6","11.422,8","13.707,0","14.263,0","9.984,0","9.512,0","8.432,1","9.059,2","6.730,9"
HIGUERA,Producción,"57,0","59,8","61,3","54,5","59,6","51,9","61,7","62,9","60,3","63,6","56,0","43,2","41,1","43,5","41,3","35,3","26,4","25,9","30,8","29,1","29,1"
LENTEJAS,Valor,"11.332,0","12.299,0","5.788,0","9.855,0","7.367,0","3.548,0","13.487,0","8.066,0","6.605,0","4.328,0","10.212,0","8.584,0","9.732,0","10.044,0","11.488,0","4.412,0","6.844,0","8.821,0","7.246,8","7.234,0","16.307,0"
LENTEJAS,Producción,"26,4","20,3","10,6","19,3","17,0","5,9","27,2","16,9","15,9","9,2","22,0","19,1","22,8","20,7","27,4","6,9","12,0","14,5","12,5","11,9","22,7"
GARBANZOS,Valor,"35.221,0","25.908,0","23.082,0","22.055,0","39.918,0","28.946,0","75.851,0","49.144,0","36.601,0","21.561,0","42.955,0","46.544,0","49.320,0","33.159,0","32.843,0","12.899,0","11.090,0","18.993,0","13.484,5","14.465,7","16.307,0"
GARBANZOS,Producción,"52,1","39,0","30,1","28,1","54,9","31,0","91,5","75,1","58,5","26,9","55,5","56,9","70,5","51,1","59,4","18,7","19,8","30,0","20,5","21,6","22,7"
GUISANTES SECOS,Valor,"2.696,0","2.654,0","1.908,0","2.414,0","14.582,0","11.687,0","16.594,0","12.046,0","12.056,0","9.301,0","10.815,0","11.918,0","20.307,0","26.539,0","31.972,0","27.164,0","29.384,0","35.294,0","30.306,0","27.725,6","51.045,0"
JUDÍAS SECAS,Producción,"52,8","46,5","36,1","30,1","33,0","32,4","29,4","23,2","20,8","19,7","18,8","15,4","13,1","14,8","15,9","14,8","14,0","11,1","11,0","13,2","12,2"
VEZA,Valor,"10.171,0","10.657,0","5.925,0","9.580,0","8.066,0","10.627,0","41.457,0","31.270,0","25.921,0","23.272,0","26.303,0","16.944,0","23.435,0","25.658,0","22.460,0","12.657,0","7.267,0","7.738,0","6.819,1","10.457,8","24.873,0"
OTROS CÍTRICOS, Producción,"0,2","1,2","1,4","4,6","5,9","7,0","4,8","9,3","6,9","7,3","10,7","9,4","18,2","10,9","11,2","13,2","21,0","12,9","4,8","17,3","9,0"
YEROS,Valor,"2.973,0","3.012,0","1.461,0","1.275,0","1.252,0","1.023,0","4.726,0","7.058,0","9.083,0","5.587,0","11.943,0","7.943,0","13.322,0","10.431,0","11.846,0","4.019,0","1.953,0","2.126,0","2.839,5","3.689,4","8.924,0"
NARANJO AMARGO, Producción,"14,4","13,7","14,9","13,2","14,8","14,4","12,7","17,0","12,4","11,7","15,8","22,0","22,7","18,1","19,8","18,5","17,1","15,0","9,3","6,5","6,8"
ALTRAMUZ,Valor,..,..,..,"300,0","2.378,0","2.365,0","4.643,0","2.886,0","2.467,0","2.414,0","2.348,0","1.485,0","2.106,0","1.596,0","1.979,0","1.241,0","1.432,0","1.364,0","954,2","1.101,0","845,0"
PIMIENTO PARA PIMENTÓN,Producción,"18,7","12,3","10,2","10,8","7,8","6,9","5,9","8,3","11,2","12,1","9,6","9,3","7,0","6,9","7,9","7,1","5,7","4,9","5,0","5,3","4,9"
ALTRAMUZ,Producción,"1,7","1,9","1,1","1,4","10,0","8,8","17,4","10,7","10,7","9,0","12,5","7,9","11,8","9,5","10,2","5,8","7,1","5,6","3,9","4,5","3,7"
SOJA,Producción,"42,2","11,8","32,9","1,5","7,6","4,7","10,1","8,3","11,4","9,8","6,7","6,6","1,6","0,6","0,4","2,8","1,5","0,9","0,7","2,8","1,8"
LÚPULO,Producción,"2,1","1,9","1,3","2,1","2,1","1,7","1,4","1,2","1,4","1,6","1,4","1,4","1,2","1,3","1,3","1,3","1,1","0,9","0,8","1,0","1,1"
Uva para pasas,Producción,..,..,"8,3","10,2","6,9","7,6","7,7","12,7","7,4","6,5","6,0","5,0","4,6","6,7","4,5","1,3","4,8","1,3","0,9","0,8","0,3"
CAÑA DE AZÚCAR,Producción,"171,0","165,0","167,0","151,0","139,0","101,0","51,0","75,0","111,0","124,0","106,0","86,0","79,0","83,0","67,0","43,0","16,0","0,5","0,2",..,"0,2"
CÁÑAMO TÉXTIL (3),Producción,"0,8","0,6","7,2","4,0","1,8","8,2","5,6","9,9","22,5","17,2","7,0","3,1","4,3","2,2","2,9","1,8","0,0","0,0","0,0","0,0","0,0"
